Product Owner's single accountability?,The PO is the single point of accountability for product success.
What does a PO manage?,"The Product Owner manages value, not timelines."
Who prioritizes the product backlog?,The Product Owner has sole authority to curate and prioritize the product backlog.
Common exam trap about POs?,The PO does NOT assign work to developers; the team self-organizes.
Scrum Master's leadership style?,"The Scrum Master is a servant leader, not a manager."
What does SM NOT do?,"A Scrum Master does not assign tasks, make technical decisions, or approve work."
SM's primary action for blockers?,The Scrum Master's primary action for impediments is to escalate immediately to unblock the team.
SAFe role coordinating Scrum Masters?,The Release Train Engineer (RTE) coordinates Scrum Masters across multiple teams in SAFe.
Agile team characteristic for skills?,"An Agile team is cross-functional, possessing all skills needed to deliver."
Who owns the sprint commitment?,"The team is collectively accountable for the sprint commitment, not individuals."
Team quality bar in Agile?,The Definition of Done (DoD) is the team's quality bar for an increment.
Sprint Planning's two main questions?,Part 1 asks 'What can we commit to?' and Part 2 asks 'How will we build it?'
What guides the team's work?,The Sprint Goal is a cohesive mission that guides the team during the sprint.
Daily Standup timebox?,The Daily Standup is a hard 15-minute timebox.
Three questions for Daily Standup?,"What I did yesterday, what I'll do today, and what's blocking me."
What is Daily Standup NOT?,It is not a status update to a manager or a problem-solving session.
Sprint Review's focus?,The Sprint Review focuses on the product ('What we built').
Sprint Retrospective's focus?,The Sprint Retrospective focuses on the process ('How we worked').
Who attends the Sprint Retrospective?,"The Retrospective is for the team only (PO, SM, Developers), with no stakeholders."
Key to effective retrospectives?,Psychological safety is required for team members to speak honestly.
When does backlog refinement happen?,"Backlog refinement is an ongoing activity, taking up to 10% of sprint time."
Most common enterprise scaling framework?,Scaled Agile Framework (SAFe) is the most prescriptive and widely used enterprise model.
SAFe's 8-12 week planning cycle?,The Program Increment (PI) is SAFe's 8-12 week planning and execution cycle.
LeSS's core principle for backlogs?,"LeSS dictates one product, one backlog, and one Product Owner for all teams."
When should you choose LeSS?,Choose LeSS for a single cohesive product where team autonomy and transparency are high priorities.
Scrum@Scale's coordination structure?,Scrum@Scale uses a 'Scrum of Scrums' structure for team coordination.
Hybrid pattern for regulated software?,The Water-Scrum-Fall pattern uses a predictive start and finish with agile development.
Hybrid pattern for hardware/software?,Component Hybrid uses a predictive approach for hardware and an agile approach for software.
Hybrid project change control?,"A tiered approach is used: PO approves small features, CCB approves major scope changes."
Predictive metric for schedule status?,Schedule Variance (SV) or Schedule Performance Index (SPI) measures schedule status.
Agile metric for forecasting delivery?,"Velocity, the average story points completed per sprint, is used for forecasting."
Formula for Schedule Variance (SV)?,SV = EV - PV (Earned Value - Planned Value).
Formula for Cost Variance (CV)?,CV = EV - AC (Earned Value - Actual Cost).
Formula for CPI?,CPI = EV / AC (Earned Value / Actual Cost).
Formula for SPI?,SPI = EV / PV (Earned Value / Planned Value).
What does CPI < 1.0 mean?,A Cost Performance Index (CPI) less than 1.0 indicates the project is over budget.
What does SPI < 1.0 mean?,A Schedule Performance Index (SPI) less than 1.0 indicates the project is behind schedule.
Agile chart showing sprint progress?,A Burndown Chart shows the remaining work in a sprint over time.
Agile chart showing scope creep?,A Burnup Chart shows cumulative work completed against a total scope line.
What is Lead Time in Kanban?,Lead Time is the total time from a customer's request to its delivery.
What is Cycle Time in Kanban?,Cycle Time is the time from when work starts on an item to when it is completed.
The 'human in the loop' principle?,"AI is a tool, not a replacement for human judgment and accountability."
Primary risk of using public AI?,Entering confidential data into public AI models violates data privacy and IP security.
What are lagging indicators?,"Lagging indicators measure outcomes after the fact, such as final cost or defects found."
What are leading indicators?,"Leading indicators predict future performance, such as declining velocity or team morale."
A key stakeholder analysis tool?,The Power/Interest Grid helps classify stakeholders to determine engagement strategy.
Strategy for high power/high interest?,Stakeholders with high power and high interest should be managed closely.
Strategy for high power/low interest?,Stakeholders with high power and low interest should be kept satisfied.
